"fpr" "fnr" "tpr" "tnr" "rec" "sens" "spec" "prec" "rpp" "lift" "F" "ppv" "fdr" "npv" "for" "plr" "nlr" "dor" "acc" "err" "microF" "macroF" "macroRec" "macroPrec" "AUC" "totU"
"Nulleval" 1 0 1 0 1 1 0 0.625902777777778 1 6.94444444444444e-05 0.769914150258403 0.625902777777778 0.374097222222222 NA NA 1 NA NA 0.625902777777778 0.374097222222222 0.625902777777778 NA 0.5 NA 0.5 16004.1656677428
"LReval" 0.408761834044923 0.456007988461112 0.543992011538888 0.591238165955077 0.543992011538888 0.543992011538888 0.591238165955077 0.690077410274455 0.493402777777778 7.65646743897098e-05 0.60838813748604 0.690077410274455 0.309922589725545 0.436600411240576 0.563399588759424 1.33082877663941 0.771276305758245 1.72548899363772 0.561666666666667 0.438333333333333 0.561666666666667 0.555337421526493 0.567615088746983 0.563338910757515 0.567615088746983 17283.6494362483
"LDAeval" 0.943939112678671 0.0299567291689781 0.970043270831022 0.0560608873213291 0.970043270831022 0.970043270831022 0.0560608873213291 0.63226786230836 0.960277777777778 7.01506559756307e-05 0.765553171927674 0.63226786230836 0.36773213769164 0.527972027972028 0.472027972027972 1.02765449360211 0.534360596136706 1.92314796605849 0.628125 0.371875 0.628125 0.433456230199447 0.513052079076175 0.580119945140194 0.513052079076175 16030.9319775673
"QDAeval" 0.676814553554854 0.223344058582048 0.776655941417952 0.323185446445146 0.776655941417952 0.776655941417952 0.323185446445146 0.657523952658275 0.739305555555556 7.29528406366665e-05 0.712142021465995 0.657523952658275 0.342476047341725 0.463771976558338 0.536228023441662 1.14751660900124 0.691070903837733 1.66049041079391 0.607013888888889 0.392986111111111 0.607013888888889 0.546531573034715 0.549920693931549 0.560647964608307 0.549920693931549 16519.0277323245
"KNNeval" 0.527009467235938 0.309996671474537 0.690003328525463 0.472990532764062 0.690003328525463 0.690003328525463 0.472990532764062 0.686575402958711 0.629027777777778 7.61761237056153e-05 0.688285097670301 0.686575402958711 0.313424597041289 0.476974915761887 0.523025084238113 1.30928070826582 0.655397201425954 1.9976904164638 0.608819444444444 0.391180555555556 0.608819444444444 0.58162973310209 0.581496930644762 0.581775159360299 0.581496930644762 16637.5573347857
"Lassoeval" 0.459996287358456 0.404415843781205 0.595584156218795 0.540003712641544 0.595584156218795 0.595584156218795 0.540003712641544 0.684170277848585 0.544861111111111 7.59092730332392e-05 0.636811198766238 0.684170277848585 0.315829722151415 0.443851083307904 0.556148916692096 1.29475861563787 0.748913080250722 1.72885031625354 0.574791666666667 0.425208333333333 0.574791666666667 0.562020037034907 0.56779393443017 0.564010680578244 0.56779393443017 17086.802497368
"GAMeval" 0.392983107480973 0.465438810606901 0.534561189393099 0.607016892519027 0.534561189393099 0.534561189393099 0.607016892519027 0.694736842105263 0.481597222222222 7.70816423061426e-05 0.604213694507148 0.694736842105263 0.305263157894737 0.438044206296048 0.561955793703952 1.36026505775183 0.766764181265864 1.77403312646418 0.561666666666667 0.438333333333333 0.561666666666667 0.556541954629858 0.570789040956063 0.566390524200656 0.570789040956063 17298.2970533183
"RFeval" 0.798032299981437 0.0610229668256962 0.938977033174304 0.201967700018563 0.938977033174304 0.938977033174304 0.201967700018563 0.663140573577809 0.88625 7.35760094949306e-05 0.777313432835821 0.663140573577809 0.336859426422191 0.664224664224664 0.335775335775336 1.17661532396138 0.302142207987156 3.89424348157077 0.663263888888889 0.336736111111111 0.663263888888889 0.543532161257768 0.570472366596434 0.663682618901237 0.570472366596434 15766.7055769765
"Boostingeval" 0.332095786151847 0.498502163541551 0.501497836458449 0.667904213848153 0.501497836458449 0.501497836458449 0.667904213848153 0.716436836265652 0.438125 7.94892750766285e-05 0.590001305312622 0.716436836265652 0.283563163734348 0.444691632678284 0.555308367321716 1.5100999692575 0.746367747359182 2.02326530668102 0.56375 0.43625 0.56375 0.561954206596065 0.584701025153301 0.580564234471968 0.584701025153301 17331.1235489673
"SVMeval" 0.461110079821793 0.368467768778431 0.631532231221569 0.538889920178207 0.631532231221569 0.631532231221569 0.538889920178207 0.696183953033268 0.567777777777778 7.72422004918749e-05 0.662284018849264 0.696183953033268 0.303816046966732 0.46642030848329 0.533579691516709 1.36959103445676 0.683753313954326 2.00304847743414 0.596875 0.403125 0.596875 0.581163540731152 0.585211075699888 0.581302130758279 0.585211075699888 16834.5901661704
