"fpr"	"fnr"	"tpr"	"tnr"	"rec"	"sens"	"spec"	"prec"	"rpp"	"lift"	"F"	"ppv"	"fdr"	"npv"	"for"	"plr"	"nlr"	"dor"	"acc"	"err"	"microF"	"macroF"	"macroRec"	"macroPrec"	"AUC"	"totU"
"Nulleval"	1	0	1	0	1	1	0	0.625902777777778	1	6.94444444444444e-05	0.769914150258403	0.625902777777778	0.374097222222222	NA	NA	1	NA	NA	0.625902777777778	0.374097222222222	0.625902777777778	NA	0.5	NA	0.5	16004.1656677428
"LReval"	0.408761834044923	0.456007988461112	0.543992011538888	0.591238165955077	0.543992011538888	0.543992011538888	0.591238165955077	0.690077410274455	0.493402777777778	7.65646743897098e-05	0.60838813748604	0.690077410274455	0.309922589725545	0.436600411240576	0.563399588759424	1.33082877663941	0.771276305758245	1.72548899363772	0.561666666666667	0.438333333333333	0.561666666666667	0.555337421526493	0.567615088746983	0.563338910757515	0.567615088746983	17283.6494362483
"LDAeval"	0.943939112678671	0.0299567291689781	0.970043270831022	0.0560608873213291	0.970043270831022	0.970043270831022	0.0560608873213291	0.63226786230836	0.960277777777778	7.01506559756307e-05	0.765553171927674	0.63226786230836	0.36773213769164	0.527972027972028	0.472027972027972	1.02765449360211	0.534360596136706	1.92314796605849	0.628125	0.371875	0.628125	0.433456230199447	0.513052079076175	0.580119945140194	0.513052079076175	16030.9319775673
"QDAeval"	0.676814553554854	0.223344058582048	0.776655941417952	0.323185446445146	0.776655941417952	0.776655941417952	0.323185446445146	0.657523952658275	0.739305555555556	7.29528406366665e-05	0.712142021465995	0.657523952658275	0.342476047341725	0.463771976558338	0.536228023441662	1.14751660900124	0.691070903837733	1.66049041079391	0.607013888888889	0.392986111111111	0.607013888888889	0.546531573034715	0.549920693931549	0.560647964608307	0.549920693931549	16519.0277323245
"KNNeval"	0.527009467235938	0.309996671474537	0.690003328525463	0.472990532764062	0.690003328525463	0.690003328525463	0.472990532764062	0.686575402958711	0.629027777777778	7.61761237056153e-05	0.688285097670301	0.686575402958711	0.313424597041289	0.476974915761887	0.523025084238113	1.30928070826582	0.655397201425954	1.9976904164638	0.608819444444444	0.391180555555556	0.608819444444444	0.58162973310209	0.581496930644762	0.581775159360299	0.581496930644762	16637.5573347857
"Lassoeval"	0.459996287358456	0.404415843781205	0.595584156218795	0.540003712641544	0.595584156218795	0.595584156218795	0.540003712641544	0.684170277848585	0.544861111111111	7.59092730332392e-05	0.636811198766238	0.684170277848585	0.315829722151415	0.443851083307904	0.556148916692096	1.29475861563787	0.748913080250722	1.72885031625354	0.574791666666667	0.425208333333333	0.574791666666667	0.562020037034907	0.56779393443017	0.564010680578244	0.56779393443017	17086.802497368
"GAMeval"	0.392983107480973	0.465438810606901	0.534561189393099	0.607016892519027	0.534561189393099	0.534561189393099	0.607016892519027	0.694736842105263	0.481597222222222	7.70816423061426e-05	0.604213694507148	0.694736842105263	0.305263157894737	0.438044206296048	0.561955793703952	1.36026505775183	0.766764181265864	1.77403312646418	0.561666666666667	0.438333333333333	0.561666666666667	0.556541954629858	0.570789040956063	0.566390524200656	0.570789040956063	17298.2970533183
"RFeval"	0.784481158344162	0.0698990347276157	0.930100965272384	0.215518841655838	0.930100965272384	0.930100965272384	0.215518841655838	0.664842572765485	0.875625	7.37648477494158e-05	0.775413930256221	0.664842572765485	0.335157427234515	0.648241206030151	0.351758793969849	1.18562562705214	0.324329112900659	3.65562504225543	0.662777777777778	0.337222222222222	0.662777777777778	0.54945118357336	0.572809903464111	0.656541889397818	0.572809903464111	15784.8143790413
"Boostingeval"	0.91108223501021	0.0355042716076778	0.964495728392322	0.0889177649897902	0.964495728392322	0.964495728392322	0.0889177649897902	0.639144180574958	0.944513888888889	7.09135893237499e-05	0.768815777836738	0.639144180574958	0.360855819425042	0.599499374217772	0.400500625782228	1.05862642397095	0.39929334269428	2.65124987265689	0.636944444444444	0.363055555555556	0.636944444444444	0.46184080194779	0.526706746691056	0.619321777396365	0.526706746691056	15961.1201071763
"SVMeval"	0.881381102654539	0.0549206701431266	0.945079329856873	0.118618897345461	0.945079329856873	0.945079329856873	0.118618897345461	0.642092567465702	0.92125	7.12407153517921e-05	0.764666277660577	0.642092567465702	0.357907432534298	0.563492063492063	0.436507936507937	1.07227092458698	0.463001017309895	2.31591483495443	0.635902777777778	0.364097222222222	0.635902777777778	0.48032424448893	0.531849113601167	0.602792315478883	0.531849113601167	16000.5401291247
